Gene	TSS	Coverage
C1orf54	chr1_150245182	6.25112280627
C10orf99	chr10_85933553	6.58315240008
USP6NL	chr10_11574279	6.26192352497
NCAM2	chr21_22370632	4.13410161107
NUP35	chr2_183989082	4.3020628558
SERPINB11	chr18_61369537	7.6963433915
SOCS2	chr12_93964174	4.35799034771
LGALS14	chr19_40194945	7.40553197752
CHRND	chr2_233390869	7.37912809089
HIRA	chr22_19419219	4.67848390271
KLHL3	chr5_137042116	7.57053117858
LIMS2	chr2_128405828	6.18616911626
ATP6V0B	chr1_44440319	4.39923010859
OR7C2	chr19_15052300	6.14067147367
PHLDA1	chr12_76425556	6.78208422931
RAB32	chr6_146864827	5.41416926062
ZNRD1	chr6_30029016	5.41935402942
CCT6B	chr17_33288528	3.65798022524
IGSF9B	chr11_133826649	7.19480226133
PRKACB	chr1_84543657	5.11776419319
FBRSL1	chr12_133067156	2.5348390065
RAB42	chr1_28919006	6.01037287483
ZNF577	chr19_52391229	4.21601888854
CREG1	chr1_167523056	4.64875037921
STON1-GTF2A1L	chr2_48796158	6.71755414602
NR2F2	chr15_96874110	2.932590825
FBXO7	chr22_32870706	4.08651119442
SIRT4	chr12_120740123	4.98291893583
PDHA2	chr4_96761238	7.78803779004
AEBP2	chr12_19593514	4.31507549882
MRPL55	chr1_228297013	4.56288271824
ATF6	chr1_161736033	3.00406070634
COMMD9	chr11_36310999	5.70965247777
PRKRIP1	chr7_102036803	3.97860835201
TECR	chr19_14640378	2.90385102962
CXCL2	chr4_74964997	5.79493347082
TSPYL4	chr6_116575261	5.00115240451
DEDD2	chr19_42721944	3.5288798676
AMMECR1L	chr2_128642434	5.46657140888
NAPA	chr19_48018515	3.20953967116
TSHR	chr14_81421868	5.91113119882
PLAGL1	chr6_144385735	5.40741939335
SMC2	chr9_106856830	4.77797903528
SARS	chr1_109756514	3.98530490276
SSR3	chr3_156272989	4.06911858106
HCK	chr20_30639990	6.92754274405
RSPRY1	chr16_57220195	5.60795055778
C1QTNF7	chr4_15341559	5.1652346485
NRXN3	chr14_78870073	8.11285838288
FAM69C	chr18_72124503	5.37575085412
GART	chr21_34914464	4.52956728575
ZNF566	chr19_36980463	4.53727180078
TRPM3	chr9_73736514	6.38242753164
CSTF2T	chr10_53459355	4.33823708938
PRR5	chr22_45064426	5.27583227201
STT3B	chr3_31573992	3.62219692161
DTNB	chr2_25875529	5.34235510952
KLC3	chr19_45843997	4.74000567189
RNASE1	chr14_21270558	8.15976293867
OR4K1	chr14_20403766	9.16232527547
FGF18	chr5_170846666	5.12978680744
ZNF555	chr19_2841432	3.87646701065
YWHAG	chr7_75988342	3.19438636918
ZNF761	chr19_53935226	4.87269109125
SMAD3	chr15_67458492	8.56578736784
STOML1	chr15_74284689	5.18995263742
TP53I11	chr11_44971759	5.02075047182
SLC38A1	chr12_46663208	5.88271238403
SIX1	chr14_61116155	4.31903614581
DNAJC14	chr12_56223420	4.02808987927
RTKN	chr2_74669060	6.37297118496
C1QTNF9B	chr13_24471145	7.137928981
PTGER4	chr5_40680031	5.12048425006
GRHPR	chr9_37422706	6.03544959282
PPEF2	chr4_76823681	7.25516858186
RFX7	chr15_56535483	2.81316910678
CALHM2	chr10_105212162	5.89174128089
IL3	chr5_131396346	8.70293981863
C21orf58	chr21_47738134	6.31122084863
SLC16A3	chr17_80193649	6.11872285782
SDCBP2	chr20_1294317	5.63455352664
SLC7A7	chr14_23289020	6.80152444369
RHBG	chr1_156338979	5.89759235071
CRYGA	chr2_209028297	7.12714268812
PSMD11	chr17_30771480	5.31863855625
KLHL8	chr4_88141420	5.98958523057
CUX1	chr7_101459183	2.33202600162
TNFAIP8L1	chr19_4639526	4.14939449861
ANKRD37	chr4_186317839	3.4299541045
CXCR2	chr2_218990012	7.5901529035
VEZT	chr12_95611521	4.02798662427
PEX11B	chr1_145516164	3.97444085334
SRSF8	chr11_94800040	4.52785448039
ADCK4	chr19_41222790	4.76059372159
EN1	chr2_119605759	7.33309239629
ZNF219	chr14_21572863	4.32343780222
DEFB130	chr8_11929256	2.19127666246
BAAT	chr9_104145801	5.50097675698
HRH1	chr3_11267668	6.30786286767
KRTAP6-2	chr21_31971193	6.13006592252
UBASH3A	chr21_43823970	7.0397030719
TMEFF1	chr9_103235519	6.10703466993
TARS	chr5_33440881	5.18470441115
WNK2	chr9_95947211	4.8504826371
ABCG1	chr21_43640007	4.00503499496
THRA	chr17_38219067	3.61930090823
CHRNA7	chr15_32322685	7.0417255182
RTN4IP1	chr6_107077373	3.66943523588
IRF5	chr7_128580723	7.41953746457
KCTD3	chr1_215740734	3.41865859268
SPRR3	chr1_152974222	7.41926328474
CLEC4G	chr19_7797057	6.49005869461
TCL1B	chr14_96152753	5.79721530512
ARL9	chr4_57371374	6.72505977305
LYZL4	chr3_42452094	7.73169621095
JMJD1C	chr10_65225761	4.69528841699
GRM5	chr11_88781240	6.57543020793
SEMA7A	chr15_74726299	5.25554820321
SEH1L	chr18_12947982	3.75680334105
KCTD14	chr11_77757237	5.90716853455
MYNN	chr3_169490852	3.83015678107
AP1M1	chr19_16308664	3.38084537548
RBBP8	chr18_20513838	4.20623686958
OR2B11	chr1_247615284	6.78493157931
TCP10L	chr21_33957845	7.64801178806
WDR64	chr1_241815579	6.52773232437
TTLL6	chr17_46894469	6.50548294095
RAB30	chr11_82745611	7.81601499761
TWISTNB	chr7_19748660	4.8916025699
CTBP2	chr10_126716453	7.24812578402
NDUFS5	chr1_39491966	7.36784195501
C4BPB	chr1_207262186	6.21396415137
SET	chr9_131447364	4.68823235785
HPS4	chr22_26879829	3.92512351534
RBL1	chr20_35724403	4.91183319218
TLR3	chr4_186990308	5.78808436421
OR7G2	chr19_9213982	6.96883555245
NUMA1	chr11_71791739	3.08657495673
CTBP1	chr4_1242908	3.04762778423
ELMO1	chr7_37024717	6.34894333669
KRT78	chr12_53242778	7.58662266365
OR4K2	chr14_20344426	7.3133302521
ASPRV1	chr2_70189397	8.10935840676
NBPF3	chr1_21766582	5.51046693392
IL17A	chr6_52051184	6.68291079726
ZNF461	chr19_37157755	4.12456895593
S100A14	chr1_153588808	6.53232174334
HIST1H2AC	chr6_26124372	3.28930318713
ZFP3	chr17_4981753	4.76718159601
DPF2	chr11_65101224	4.03930722788
NELL2	chr12_45269444	6.51051223815
WHSC1L1	chr8_38239790	3.68033648896
PDE3A	chr12_20724797	6.46455542076
CITED2	chr6_139695350	4.10595614535
KIAA1324	chr1_109656584	5.76705046644
FAP	chr2_163100045	6.68110777969
OR51A4	chr11_4968330	6.1399387351
ZKSCAN1	chr7_99613194	4.4747913239
CRISPLD1	chr8_75912388	6.47741445989
ATM	chr11_108093558	4.77286065616
NLRC4	chr2_32490812	8.15514902458
ETV4	chr17_41623800	4.61824876512
SS18	chr18_23671181	4.3752546068
P2RX2	chr12_133195365	4.89040149357
KCNK10	chr14_88789593	6.23220581244
STK32C	chr10_134121477	4.25710333535
EDNRA	chr4_148402068	7.53309377707
IGFBP7	chr4_57976551	6.95199550281
DZIP1	chr13_96296960	5.86921950893
COL8A1	chr3_99357439	7.8904249251
CCDC126	chr7_23636997	4.90942608529
TBC1D1	chr4_38121574	5.64607902173
VGF	chr7_100808852	4.22901027626
PPP2R2D	chr10_133747959	7.00552673382
MC2R	chr18_13915706	7.32318734827
FAM120AOS	chr9_96215874	4.73111592105
SERF2	chr15_44084039	4.3374917067
LNPEP	chr5_96271345	3.89040294189
GSTCD	chr4_106629940	4.44870978902
MNDA	chr1_158801167	5.71012639266
AKT3	chr1_244006584	4.89491059827
ZKSCAN4	chr6_28220074	6.08597435527
SDC1	chr2_20424927	4.70752314952
BRD1	chr22_50219548	5.91105466515
KLK6	chr19_51472929	7.40915381694
MSH6	chr2_48011093	3.95674509866
GDPD4	chr11_76998463	6.54300959209
PDCD10	chr3_167452651	4.6558504952
ATP1A3	chr19_42498428	5.91753900296
GDNF	chr5_37834924	8.53786970646
FCGRT	chr19_50015535	5.04059845829
B4GALT2	chr1_44444873	5.50035350978
TLCD1	chr17_27053230	4.66948200929
TRAPPC2L	chr16_88923505	3.57643694429
FER	chr5_108083522	5.65434786858
NAB2	chr12_57482676	4.46733037529
BCAS3	chr17_58755171	5.22293520952
LCE4A	chr1_152681522	6.57133200051
NDUFS4	chr5_52856464	4.95748819503
TARDBP	chr1_11072678	4.11717560628
HHAT	chr1_210502639	5.34074780853
PITX3	chr10_104001231	6.34621395421
TOMM20	chr1_235292256	3.77471009204
GCAT	chr22_38203911	5.04559606785
GNG8	chr19_47137939	4.46209002989
UNC13A	chr19_17799008	6.41645554629
RPS5	chr19_58898635	3.86749548375
PARL	chr3_183602693	5.78402091039
HOOK3	chr8_42752032	4.16299173223
LGALS8	chr1_236681513	4.02276899834
RPL32	chr3_12883081	4.15026383007
DNAJC8	chr1_28559542	3.91697771876
CDH11	chr16_65156040	6.25939687063
SPCS2	chr11_74660291	5.10657781694
TERF2IP	chr16_75681634	4.33389546657
CNKSR3	chr6_154831753	5.75744743951
MAP7	chr6_136871957	4.70373225693
DNMT3A	chr2_25475184	5.71400167395
NDUFA4L2	chr12_57634475	6.43419484758
LEF1	chr4_109090112	6.56584345959
SLAIN1	chr13_78273015	4.94358610187
PCDHB12	chr5_140588290	5.94321991018
GLIPR1L2	chr12_75784849	4.0481470682
CD302	chr2_160654766	5.96322967246
ATP5J2	chr7_99063824	4.96072854138
OR10A6	chr11_7950209	5.61197885812
RILPL1	chr12_124018265	3.06637125809
CSRP1	chr1_201476387	6.18704125052
CPA4	chr7_129932973	6.38597471849
BOC	chr3_112931343	7.47861929593
MED27	chr9_134955274	5.27103016246
ANKMY2	chr7_16685442	4.9002964299
YIPF4	chr2_32502957	4.4371412783
ACSS3	chr12_81471808	5.43705050731
ARAP1	chr11_72463434	5.1958999218
PDXDC1	chr16_15068819	6.61060395242
AMH	chr19_2249112	5.21924100541
RHOBTB2	chr8_22853360	6.49586472767
H1FOO	chr3_129267227	8.5500427913
SNUPN	chr15_75918719	4.28079376053
NOXA1	chr9_140317846	4.07590720133
DNAJB5	chr9_34990266	4.53098232738
ENC1	chr5_73937249	4.92897895792
DENND3	chr8_142138719	2.87107805371
TREML1	chr6_41122087	7.3941375514
TDP1	chr14_90422245	4.06173350614
ARHGEF26	chr3_153839148	5.45082798666
RNF38	chr9_36400296	4.07015931584
CCL18	chr17_34391631	7.97090034971
RREB1	chr6_7108085	4.1436725128
POC5	chr5_75008280	6.00585985445
ZFP28	chr19_57050316	3.81796263047
NEK9	chr14_75593778	5.42040673132
ABCB10	chr1_229694442	3.75062383704
CELA1	chr12_51740463	7.01411063851
CACNA1S	chr1_201081694	6.4868895548
PSMB11	chr14_23511375	7.6587519413
CBLN3	chr14_24898731	5.18482162468
HIST1H2BC	chr6_26124132	3.30095598366
PLBD2	chr12_113796370	4.59381635831
ATXN1	chr6_16761721	3.51537849586
SERINC3	chr20_43150726	4.75812581575
MRGPRD	chr11_68748455	6.97037828083
CD59	chr11_33744273	6.64898272586
GAS2L1	chr22_29702984	5.67548904829
ACAD8	chr11_134123433	5.77346871286
TEK	chr9_27109138	6.32952393082
LARS	chr5_145562294	5.31133453111
PDCD4	chr10_112631552	3.54433711983
RPS26	chr12_56435685	3.57947059494
CACNA1B	chr9_140772240	6.11626631852
SFXN3	chr10_102790995	5.76939417288
SKP2	chr5_36152144	5.48390329948
GLI4	chr8_144349606	4.53093195261
ANAPC10	chr4_146019693	5.27153308266
MCCC1	chr3_182817375	4.76413819541
TRIAP1	chr12_120884215	4.45224260134
NFKB2	chr10_104153866	4.73191929929
ABCA9	chr17_67057136	5.99976572078
TSC1	chr9_135820020	4.15671080468
PGC	chr6_41715139	7.49647332154
MLNR	chr13_49794473	4.79569473356
HBA2	chr16_222845	4.40380903611
ACSL5	chr10_114135022	7.41985951973
PPARA	chr22_46546498	4.52804600873
GPR146	chr7_1084208	4.55246740234
PTGFR	chr1_78956727	7.75585532089
MTHFD1L	chr6_151186814	5.79551032073
ACSL6	chr5_131347355	7.01293236145
SLC22A4	chr5_131630144	6.52458605077
KCTD20	chr6_36410543	3.56374663653
C1orf210	chr1_43751288	6.41409644691
HEPHL1	chr11_93754377	6.91183597638
POTEM	chr14_20020272	7.38998958016
AMACR	chr5_34008220	4.4435792496
OR1S2	chr11_57971653	8.33653795324
SCAI	chr9_127905838	3.97771195761
TMEM132D	chr12_130388212	5.80397498985
ILVBL	chr19_15236610	4.01842343928
PIGV	chr1_27114453	4.27318042325
GABARAPL1	chr12_10365488	4.52937015365
CTSD	chr11_1785222	3.51285715337
CLUAP1	chr16_3559893	4.50737094352
ZEB1	chr10_31610063	5.37548969935
COPG2	chr7_130353598	4.55357947829
IL10	chr1_206945839	6.73228507813
HIST1H2BF	chr6_26199786	3.63888708315
GJD3	chr17_38520945	6.25440595545
MSH6	chr2_48010220	4.57181272989
KLF12	chr13_74708066	5.43342880858
DCLRE1B	chr1_114447914	4.5671500264
ATF4	chr22_39916563	3.52595911665
ORC6	chr16_46723557	3.99506583663
NDST2	chr10_75571589	4.13043854442
GPR107	chr9_132815984	4.38015463801
AICDA	chr12_8765442	6.56295428871
PLEKHG5	chr1_6580121	8.11652420255
ABHD3	chr18_19284766	4.8049328154
MBNL2	chr13_97874549	4.11968172835
RRAGD	chr6_90121995	5.5530151105
PLAC9	chr10_81892257	7.97996966206
MBNL2	chr13_97874542	4.11304695847
MPHOSPH10	chr2_71357443	3.70336003406
IQCF2	chr3_51895644	7.05667599636
AKR1C3	chr10_5090957	5.88867312771
CHD1	chr5_98262238	3.99227844096
MTHFSD	chr16_86588809	4.72082241031
NEO1	chr15_73344824	4.0342983077
HES5	chr1_2461684	4.38974776194
DEFB128	chr20_170322	5.82307775578
ALDH4A1	chr1_19229293	4.57347440202
KCNV2	chr9_2717525	7.67657485962
FKBP8	chr19_18654406	2.26754451096
TNIP1	chr5_150460645	4.58792147207
UBTF	chr17_42298250	2.65421303752
TOP2B	chr3_25705863	3.96863611367
IGSF21	chr1_18434239	6.13140234893
SLC35F5	chr2_114514270	4.12995475039
CFHR1	chr1_196788860	4.4320229069
KRT18	chr12_53342654	5.24258310312
LIMA1	chr12_50677353	5.38503774612
LYZ	chr12_69742133	5.86918619908
TMEM203	chr9_140100090	3.59854404836
PATE2	chr11_125648714	7.11429940155
NTRK3	chr15_88799962	5.13850822206
SCN7A	chr2_167343481	7.0475952253
OLFM3	chr1_102462790	6.23972025877
TSEN54	chr17_73512608	2.87715874668
SLC26A5	chr7_103086624	5.91253073006
FBXW12	chr3_48413708	7.6153815134
MNX1	chr7_156803347	4.158971938
PPP1R15B	chr1_204380945	4.20193191777
PSMB2	chr1_36107152	6.09493953354
DSEL	chr18_65183967	4.5623813873
FAM198A	chr3_43020758	7.54305435151
IGSF10	chr3_151158578	6.62064751732
NRG2	chr5_139422884	6.02069296945
BARHL2	chr1_91182794	5.43912142717
C15orf27	chr15_76352298	4.81958779047
ICOS	chr2_204801470	4.49119120145
MATK	chr19_3786415	4.8022908507
ATP2C2	chr16_84402128	6.70677670668
CHID1	chr11_915058	6.47745693169
EEPD1	chr7_36192835	4.48133275546
EGFLAM	chr5_38403633	6.91308599616
CCNA2	chr4_122745088	3.99900500136
CMTM3	chr16_66638227	6.40846042484
SLC26A11	chr17_78194199	5.61961980088
RAB13	chr1_153958853	4.17382661219
ATP8A2	chr13_25946208	6.08502003456
ASTN2	chr9_120177317	5.89013603387
EYA1	chr8_72274467	6.02947818767
BAZ2B	chr2_160473112	3.65498345966
SLC16A1	chr1_113498685	5.97900144765
NPSR1	chr7_34697896	7.07593582012
SLC1A7	chr1_53608304	8.0438543171
RALGDS	chr9_136004788	7.00774472094
MAPK7	chr17_19281033	3.16065432457
FANCD2	chr3_10068112	4.14827066698
HIST1H2AJ	chr6_27782518	4.82827597075
ZNF474	chr5_121465207	6.52264907541
TM4SF19	chr3_196065291	7.63115918132
HOMER1	chr5_78809659	4.91150213191
TNNI2	chr11_1860232	6.4619010793
C8A	chr1_57320442	6.37303661111
SPEG	chr2_220299699	6.70042666657
ECH1	chr19_39322497	4.5899049407
ITPA	chr20_3190133	6.19401851765
RAPH1	chr2_204400058	4.19691004776
TNIP1	chr5_150444692	7.03606188896
OR4K14	chr14_20483352	6.15968226773
S100A6	chr1_153508717	5.2693646676
GBX2	chr2_237076652	5.60952689821
SLC25A16	chr10_70287280	3.43981192268
CBLC	chr19_45281125	3.67053817137
GH1	chr17_61996212	7.33165349031
EPHA3	chr3_89156673	6.63991023322
TRAPPC9	chr8_141468678	3.66114210548
PLD1	chr3_171528284	5.98185420886
SRI	chr7_87849399	3.94990232642
JAGN1	chr3_9932270	4.53344943282
ST8SIA5	chr18_44337132	7.35391784595
SLC30A5	chr5_68389775	4.30867932825
TFG	chr3_100428385	3.53184499155
PARP8	chr5_49962771	3.98434218327
RBBP4	chr1_33116748	4.05320953264
SEC14L3	chr22_30868034	7.95937904866
CUL9	chr6_43149921	4.83699473388
LRRC26	chr9_140064491	5.19030541831
LRP4	chr11_46940173	5.51519057192
ANKRD20A3	chr9_43133510	8.82896176172
ZNF438	chr10_31320866	4.18928293332
FAM69B	chr9_139607023	3.75088779897
ADCK2	chr7_140372952	4.46929342317
AGXT	chr2_241808161	7.79184492341
RNF38	chr9_36400920	3.40689382523
SUN5	chr20_31592239	7.090083842
SOCS2	chr12_93963597	5.08020437881
CRIP2	chr14_105941111	3.33103976644
TSLP	chr5_110407389	7.83554723861
VARS2	chr6_30881984	4.54298336595
MYH8	chr17_10325267	6.13203129437
GLRB	chr4_157997276	4.71364974119
BCL9L	chr11_118781613	5.44916446831
MTFMT	chr15_65321977	5.17417113731
ELMO1	chr7_37025871	6.47951286547
TMED1	chr19_10946983	3.35125370454
NAA40	chr11_63706802	4.0667775563
SUSD3	chr9_95820969	5.25428625759
WIPI2	chr7_5253899	6.49407627243
VPS54	chr2_64246214	3.56293600031
NDUFA12	chr12_95397489	4.87373146093
AIMP1	chr4_107237663	5.08482496143
NBPF7	chr1_120387503	8.64204775508
CFHR4	chr1_196857143	5.36509459136
ZBTB1	chr14_64971291	4.11271712017
BSCL2	chr11_62477091	5.67178472542
FZD4	chr11_86666440	5.38711539072
RBP1	chr3_139258671	6.78464090947
PRH1	chr12_11324222	4.22535050106
CCNK	chr14_99947738	2.90978583862
MTHFR	chr1_11866160	4.50734740226
CXADR	chr21_18885223	5.16802741313
FAM65B	chr6_24936280	5.59962633394
C6orf47	chr6_31628549	5.05851915744
AGBL3	chr7_134671258	4.43266526817
PARP6	chr15_72563628	4.81400925923
SEC23B	chr20_18488606	4.21600047967
OR52B2	chr11_6191556	9.12142014854
KRTAP20-2	chr21_32007582	6.12538251053
ZMYM1	chr1_35525386	8.0210165984
KLHL3	chr5_137056999	7.80633210943
SARS2	chr19_39421536	4.14178540357
UXS1	chr2_106810795	3.45674944535
FKBP11	chr12_49318664	6.29686370579
PHLDB1	chr11_118477212	6.0182332531
ATP2B4	chr1_203595914	3.89748720125
ENAM	chr4_71494460	6.67474349483
SHISA4	chr1_201857796	6.22408292562
RLN1	chr9_5339873	6.01985641666
ZMAT5	chr22_30162969	4.80007253932
CCDC103	chr17_42977079	3.80928722977
MFSD10	chr4_2935964	4.55836745455
GRB10	chr7_50772998	6.40836499019
MLH3	chr14_75518235	4.80423527631
PODN	chr1_53527884	7.18038673837
IFI44L	chr1_79086066	5.80868563691
TMEM184A	chr7_1596066	5.42225646839
GOT2	chr16_58768261	4.79377611949
PHPT1	chr9_139743267	3.36587359289
AANAT	chr17_74463629	7.03434645785
FBXO18	chr10_5931534	3.98892839202
KIAA0195	chr17_73452663	4.83829300734
ASL	chr7_65540775	5.33433986316
NKAIN2	chr6_124124990	5.27038847908
CHST8	chr19_34112872	6.23685578033
TYW1	chr7_66461791	3.97984014528
DDX6	chr11_118661657	3.90142971526
ATP2A2	chr12_110719031	4.40957842111
ZFP1	chr16_75182420	4.2701069892
CISD1	chr10_60028861	3.39773586518
TINAGL1	chr1_32043745	4.91703274315
FAR1	chr11_13690205	4.54671932716
PIK3CG	chr7_106505923	6.48453365421
GJC1	chr17_42908179	6.56876766708
IFIH1	chr2_163175218	5.43067760307
DPM2	chr9_130700763	5.78367669636
UNC80	chr2_210636716	5.87291904761
ADAMTSL1	chr9_18474078	7.83280026391
AMPD3	chr11_10476665	6.61264012587
PRKAR1A	chr17_66508519	4.53394758608
WISP3	chr6_112375370	6.60400722585
PPRC1	chr10_103892750	3.40661522964
GALC	chr14_88460009	4.82985773773
UBQLN1	chr9_86323168	3.22579977243
NBEA	chr13_35516423	5.22117647139
RASSF8	chr12_26111963	4.65611760194
PPFIA2	chr12_81763193	5.98801564842
PITX2	chr4_111544254	6.66784681358
COPS6	chr7_99686582	4.50259756387
LRP1	chr12_57522281	4.82073770061
KRT75	chr12_52828110	7.79390981055
GPRC5C	chr17_72427666	4.4807027047
PF4	chr4_74847841	7.03580901927
MYLIP	chr6_16129316	3.32225055042
IFI6	chr1_27998724	5.67044656809
C11orf68	chr11_65686531	2.57599970073
TNIP1	chr5_150460649	4.58589612322
POLR1E	chr9_37485931	5.47926551877
KIAA1462	chr10_30348488	5.52722648143
HTATIP2	chr11_20385230	4.9609284885
NAP1L5	chr4_89619023	5.37813568723
F2RL2	chr5_75919238	5.11916794681
LCE1B	chr1_152784446	7.01236463014
ACTL8	chr1_18081807	5.73553462997
NPM3	chr10_103543170	5.86134661165
WNT10B	chr12_49365641	6.71760926409
GABRA5	chr15_27112272	6.46721359799
ZNF160	chr19_53606687	4.20154411552
ZBTB20	chr3_114790261	5.7168617117
GRID2	chr4_93225549	6.92009357152
CYP2R1	chr11_14913751	4.60108506305
SLC45A4	chr8_142264728	6.45590224913
OR4B1	chr11_48238361	8.08282743365
IFNAR2	chr21_34602199	4.93465053894
RPP25	chr15_75249775	5.0706947777
FAM179B	chr14_45431392	4.59932154835
PDE4A	chr19_10563632	4.60532434329
DRD3	chr3_113918254	7.05848384366
NSUN7	chr4_40751913	6.79769031743
ZNF596	chr8_182549	4.04130198958
SNX10	chr7_26403944	4.6644196888
NEU2	chr2_233897381	8.99370122714
CRNN	chr1_152386750	7.24832250508
CEP290	chr12_88535993	3.88901446801
CNOT2	chr12_70637493	4.82093190004
TDGF1	chr3_46616044	7.78724075845
