ID	Mean	NonPregnant1	NonPregnant2	NonPregnant3	NonPregnant4	Gene	RefSeq	Region
8099887	12.406515	12.39835	12.49214	12.39684	12.33873	RPL9	NM_001024921 	chr4:39454773-39460568
7920244	12.4000525	12.53101	12.24161	12.39188	12.43571	S100A8	NM_002964 	chr1:153362508-153363664
7942586	12.385735	12.42417	12.45888	12.14831	12.51158	RPS3	NM_001005 	chr11:75110562-75133324
7937476	12.37	12.37788	12.39982	12.32985	12.37245	RPLP2	NM_001004 	chr11:809936-812876
8151935	12.3674925	12.32696	12.53216	12.29137	12.31948	RPL30	NM_000989 	chr8:99053569-99057773
8101774	12.34557	12.27569	12.61191	12.41696	12.07772	TMSL3	NM_183049 	chr4:91759636-91760269
8150872	12.29864	12.41817	12.2633	12.26758	12.24551	RPS20	NM_001023 	chr8:56985613-56987069
8036710	12.29265	12.02133	12.4534	12.33775	12.35812	GMFG	NM_004877 	chr19:39818999-39826679
7917906	12.2486825	12.22376	12.38391	12.14246	12.2446	RPL7	NM_000971 	chr1:97144040-97157095
7901038	12.2446525	12.33549	12.23112	12.18447	12.22753	RPS8	NM_001012 	chr1:45241109-45244451
8042337	12.2312825	12.1302	12.29587	12.31269	12.18637	ACTR2	NM_001005386 	chr2:65454902-65498387
7923438	12.224505	12.12117	12.31236	12.14572	12.31877	RPS27	NM_001030 	chr1:202440474-202441278
8085026	12.2196825	12.12879	12.29868	12.18096	12.2703	RPL35A	NM_000996 	chr3:197677048-197682722
8102860	12.2074825	12.21254	12.19836	12.23359	12.18544	H3F3A	NM_002107 	chr4:140619333-140619675
7946812	12.196525	12.26322	12.24652	12.01149	12.26487	RPS13	NM_001017 	chr11:17095936-17099220
7971461	12.1851125	12.19512	12.09894	12.21424	12.23215	LCP1	NM_002298 	chr13:46700058-46756394
8122136	12.1802125	12.2086	12.2881	11.95568	12.26847	RPS12	NM_001016 	chr6:133135678-133138703
7990916	12.1708925	12.20149	12.26447	12.08511	12.1325	RPS17	NM_001021 	chr15:82821163-82824950
8005943	12.1416275	11.94067	12.27624	12.25136	12.09824	RPL23A	NM_000984 	chr17:27046997-27051374
8137244	12.12321	12.08837	12.22677	12.12056	12.05714	GIMAP4	NM_018326 	chr7:150264458-150271041
8179544	12.10903	12.00156	12.36228	12.12872	11.94356	RPS18	NM_022551 	chr6:33239787-33244286
7956211	12.0697575	12.07132	12.05643	12.09052	12.06076	MYL6	NM_021019 	chr12:56552099-56555366
8115158	12.06829	12.19374	12.06595	12.00572	12.00775	RPS14	NM_001025071 	chr5:149822752-149829319
7939068	12.04899	11.93348	12.03435	12.01408	12.21405	RPS25	NM_001028 	chr11:27603227-27603601
7999827	12.04697	11.94705	12.09285	12.01123	12.13675	RPS15A	NM_001019 	chr16:18794277-18801687
8143132	12.0373375	11.83769	12.02197	12.348	11.94169	LUZP6	NM_001128619 	chr7:135611509-135662107
7967563	12.01469	12.02515	12.06926	11.96792	11.99643	UBC	NM_021009 	chr12:125396150-125399407
8007441	12.0037225	11.74158	12.25001	12.13467	11.88863	RPL27	NM_000988 	chr17:41150446-41155337
8141050	11.99426	12.09485	12.03388	11.89937	11.94894	RPS3A	NM_001006 	chr7:94324337-94324587
7952325	11.991215	12.02439	11.89641	12.17609	11.86797	HSPA8	NM_006597 	chr11:122928200-122932844
8012469	11.9897325	12.06702	12.1503	11.96295	11.77866	RPL26	NM_000987 	chr17:8280834-8286568
8164100	11.965295	11.94745	12.04747	11.93133	11.93493	RPL35	NM_007209 	chr9:127620158-127624240
7928551	11.9507375	11.91765	12.09709	11.85318	11.93503	RPS24	NM_033022 	chr10:79793573-79815192
8022972	11.93463	11.90709	12.06667	11.90113	11.86363	RPL7A	NM_000972 	chr18:36914836-36915469
8036737	11.9228375	11.90039	11.96544	11.99894	11.82658	RPS16	NM_001020 	chr19:39923847-39926618
7900382	11.920425	12.01618	11.66416	11.98906	12.0123	CAP1	NM_006367 	chr1:40505905-40538321
8116520	11.9112075	11.96312	11.72654	12.16182	11.79335	GNB2L1	NM_006098 	chr5:180663926-180670924
7964262	11.8956325	11.98083	11.87885	11.88433	11.83852	NACA	NM_001113201 	chr12:57106217-57120981
7898875	11.8865275	11.86716	11.8918	11.9384	11.84875	RPL11	NM_000975 	chr1:24018261-24022915
8158240	11.86465	11.73561	12.18534	11.89992	11.63773	TMSB4X	NM_021109 	chr9:131104432-131105049
8029129	11.8460775	12.0599	11.82461	11.72698	11.77282	RPS19	NM_001022 	chr19:42363988-42375484
8042052	11.83494	11.82222	11.90377	11.75943	11.85434	RPS27A	NM_002954 	chr2:55459824-55463172
7957023	11.8171975	11.84237	12.2008	11.69538	11.53024	LYZ	NM_000239 	chr12:69742134-69748014
8006573	11.8139725	11.88748	11.79485	11.61317	11.96039	TAF15	NM_139215 	chr17:34136488-34174238
8101762	11.7882025	12.10332	11.75917	11.74748	11.54284	SNCA	NM_000345 	chr4:90646687-90759447
8048234	11.7879375	11.66926	11.78745	11.74602	11.94902	ARPC2	NM_152862 	chr2:219081866-219119071
8050240	11.76828	11.75912	11.59679	11.98706	11.73015	ODC1	NM_002539 	chr2:10580094-10588630
7963575	11.7617775	11.89788	11.97141	11.64167	11.53615	EIF4B	NM_001417 	chr12:53434583-53434873
8101212	11.7549325	11.81282	11.85717	11.71476	11.63498	CCNI	NM_006835 	chr4:77969165-77997128
8149126	11.7360075	12.50104	11.9282	11.40816	11.10663	DEFA3	NM_005217 	chr8:6854288-6856717
8141133	11.736	11.70658	11.96705	11.80263	11.46774	SHFM1	NM_006304 	chr7:96318079-96339203
7987449	11.73537	11.54337	11.74055	11.84263	11.81493	SRP14	NM_003134 	chr15:40327963-40331389
8019930	11.727175	11.68312	11.9493	11.85821	11.41807	MYL12B	NM_033546 	chr18:3262123-3278247
8055476	11.7259	11.5005	12.18384	11.454	11.76526	YWHAE	NM_006761 	chr2:139045599-139046297
8125835	11.72211	11.53749	11.78084	11.74267	11.82744	RPS10	NM_001014 	chr6:34385231-34393902
8030171	11.705545	11.58186	11.80106	11.62724	11.81202	FTL	NM_000146 	chr19:49468566-49470136
8126450	11.687465	11.58332	11.76962	11.49627	11.90065	RPL24	NM_000986 	chr6:42924074-42924466
8152079	11.68539	11.67629	11.59757	11.72803	11.73967	PABPC1	NM_002568 	chr8:101715142-101734939
8116929	11.661225	11.75574	11.76718	11.59641	11.52557	RPL15	NM_002948 	chr6:12514307-12515023
7971375	11.6566075	11.7415	11.63883	11.63295	11.61315	TPT1	NM_003295 	chr13:45911008-45915505
7918825	11.6544975	11.52232	11.76343	11.60372	11.72852	CSDE1	NM_001007553 	chr1:115259534-115300624
8024299	11.571245	11.40714	11.75971	11.43528	11.68285	RPS15	NM_001018 	chr19:1438363-1440492
7978833	11.568405	11.4786	11.90727	11.26532	11.62243	RPL36AL	NM_001001 	chr14:50085406-50087356
8027932	11.53192	11.84043	11.06213	11.48974	11.73538	COX6B1	NM_001863 	chr19:36139155-36149684
8076272	11.5285925	11.59736	11.58953	11.32338	11.6041	ST13	NM_003932 	chr22:41220595-41252687
8019183	11.5228775	11.652	11.67737	11.49126	11.27088	ACTG1	NM_001614 	chr17:79476997-79479950
7961693	11.5143975	11.62334	11.29067	11.73873	11.40485	LDHB	NM_002300 	chr12:21788276-21810776
7953385	11.5112625	11.57941	11.88088	11.47233	11.11243	GAPDH	NM_002046 	chr12:6643611-6647537
7965048	11.5001975	11.46226	11.60913	11.58062	11.34878	NAP1L1	NM_004537 	chr12:76439954-76478450
8038086	11.4873475	11.63678	11.71667	11.39181	11.20413	RPL18	NM_000979 	chr19:48957472-49122435
7999360	11.48531	11.527	11.75142	11.18969	11.47313	RPL21	NM_000982 	chr16:9250470-9250738
8032730	11.48282	11.54646	11.58455	11.39066	11.40961	EEF2	NM_001961 	chr19:3976054-3985461
7898910	11.478525	11.42305	11.1874	11.76884	11.53481	PNRC2	NM_017761 	chr1:24286302-24289952
8027024	11.42343	11.5389	11.36966	11.43628	11.34888	UBA52	NM_001033930 	chr19:18682614-18688270
7920238	11.4189475	11.53126	11.57293	11.57854	10.99306	S100A12	NM_005621 	chr1:153346181-153348125
8014316	11.4170325	11.25209	10.95388	12.16946	11.2927	CCL5	NM_002985 	chr17:34198495-34207377
8179276	11.3946425	11.21001	11.65647	11.23734	11.47475	AIF1	NM_004847 	chr6:31583011-31584798
8105523	11.3859725	11.32509	11.39944	11.62489	11.19447	KIF2A	NM_004520 	chr5:61602078-61683241
8152096	11.377305	11.18156	11.38243	11.59772	11.34751	YWHAZ	NM_145690 	chr8:101930911-101965569
8052680	11.3725275	11.13976	11.44328	11.33998	11.56709	RAB1A	NM_004161 	chr2:65313989-65357289
8036224	11.3505525	11.43301	11.66352	11.3225	10.98318	TYROBP	NM_003332 	chr19:36395303-36399186
7981335	11.3171325	11.24237	11.2064	11.43556	11.3842	HSP90AA1	NM_001017963 	chr14:102547386-102606023
8087409	11.3096375	11.34495	11.1953	11.38655	11.31175	RHOA	NM_001664 	chr3:49396578-49449526
7918050	11.308205	11.54486	11.1031	11.44849	11.13637	RPSA	NM_002295 	chr1:102251892-102254059
7937330	11.2992975	11.32418	11.30935	11.42762	11.13604	IFITM2	NM_006435 	chr11:307915-309395
8124144	11.289235	11.25487	11.20785	11.24044	11.45378	DEK	NM_003472 	chr6:18224400-18264799
8155849	11.2805875	11.11345	11.19613	11.41191	11.40086	ANXA1	NM_000700 	chr9:75766673-75785309
7946610	11.27027	11.05381	11.40054	11.53484	11.09189	EIF4G2	NM_001418 	chr11:10818593-10830582
7925954	11.261245	11.69289	11.28508	10.86407	11.20294	NET1	NM_001047160 	chr10:5454514-5500426
8118974	11.259765	11.20545	11.34548	11.26765	11.22048	RPL10A	NM_007104 	chr6:35436178-35438562
7920128	11.2577225	11.06609	11.19084	11.18728	11.58668	S100A11	NM_005620 	chr1:152004982-152009511
7998655	11.2510425	11.68255	11.4226	10.97777	10.92125	RPS2	NM_002952 	chr16:2012053-2014827
8101324	11.2421	11.48473	10.66342	11.59915	11.2211	HNRNPD	NM_031370 	chr4:83274467-83295149
7956152	11.23992	11.46818	10.57432	11.77195	11.14523	PA2G4	NM_006191 	chr12:56498335-56507645
8082431	11.23587	11.39979	10.95365	11.46222	11.12782	RAB7A	NM_004637 	chr3:128444979-128533641
8100971	11.2339525	10.7572	11.80554	11.98325	10.38982	PPBP	NM_002704 	chr4:74852755-74853900
7920123	11.229655	11.25425	10.94335	11.42819	11.29283	S100A10	NM_002966 	chr1:151955386-151966866
7999834	11.22925	11.258	11.24989	10.83167	11.57744	ARL6IP1	NM_015161 	chr16:18802991-18812866
8118548	11.2266875	10.76905	11.17589	11.54355	11.41826	HLA-DRA	NM_019111 	chr6:32407619-32412965
7922793	11.222885	11.22372	11.34209	11.22334	11.10239	ARPC5	NM_005717 	chr1:183592401-183604997
7955817	11.1868325	11.32543	11.63225	11.49532	10.29433	PCBP2	NM_005016 	chr12:53845886-53873616
8106271	11.1853525	10.64022	11.60367	10.96578	11.53174	NSA2	NM_014886 	chr5:74063073-74072734
7994415	11.166725	11.19405	11.03989	10.8566	11.57636	EIF3C	NM_001037808 	chr16:28722782-28747051
8046201	11.150205	10.92269	11.24758	11.1319	11.29865	SSB	NM_003142 	chr2:170655359-170668575
8178891	11.1467625	10.92896	11.19922	11.35165	11.10722	HLA-DPA1	NM_033554 	chr6:33032793-33041382
8062880	11.1394375	11.3544	10.78411	11.26883	11.15041	YWHAB	NM_003404 	chr20:43514317-43537259
8029831	11.1391775	10.9604	11.1959	11.34215	11.05826	CALM3	NM_005184 	chr19:47104407-47114039
7919715	11.1298575	11.32675	11.19665	11.12766	10.86837	ANP32E	NM_030920 	chr1:150190717-150208506
8089911	11.11544	10.64468	11.42585	11.53858	10.85265	HCLS1	NM_005335 	chr3:121350246-121379715
8165309	11.111555	11.41045	10.80854	11.25264	10.97459	EDF1	NM_003792 	chr9:139756571-139760744
8168557	11.09922	10.93739	10.84836	11.36649	11.24464	SH3BGRL	NM_003022 	chrX:80457442-80554046
7967976	11.09847	11.13109	10.78148	11.16417	11.31714	SAP18	NM_005870 	chr13:21714650-21723221
7978201	11.093335	10.99416	11.02828	11.5818	10.7691	NEDD8	NM_006156 	chr14:24686071-24701574
8167965	11.0841025	10.8019	11.08153	11.14835	11.30463	MSN	NM_002444 	chrX:64887511-64961793
7903980	11.0764775	10.65906	11.369	11.06901	11.20884	C1orf162	NM_174896 	chr1:112016414-112021134
8031152	11.07051	11.12058	11.36861	10.92089	10.87196	RPS9	NM_001013 	chr19:54704716-54711515
7920422	11.07005	11.50913	10.81435	10.78183	11.17489	RAB13	NM_002870 	chr1:153954127-153958828
8164596	11.0662175	10.49526	11.20782	11.21341	11.34838	C9orf78	NM_016520 	chr9:132589569-132597560
8036777	11.060595	10.62201	11.21552	11.18707	11.21778	FBL	NM_001436 	chr19:40325098-40337008
8119993	11.05991	11.35114	10.14802	11.25932	11.48116	HSP90AB1	NM_007355 	chr6:44214824-44221620
8147883	11.05917	11.09952	10.86736	10.99338	11.27642	ENY2	NM_020189 	chr8:110346570-110356890
8171111	11.053665	11.21217	10.73303	11.25685	11.01261	SLC25A6	NM_001636 	chrX:1505045-1511617
8072979	11.0458675	11.28745	10.82256	10.76658	11.30688	POLR2F	NM_021974 	chr22:38349688-38364707
7966368	11.0441075	11.11608	11.04828	11.11618	10.89589	PPP1CC	NM_002710 	chr12:111157744-111180676
8177858	11.0254025	11.45187	11.00886	10.82739	10.81349	TUBB	NM_178014 	chr6:30688133-30693199
7908376	11.0096925	10.39172	11.21074	11.81556	10.62075	RGS18	NM_130782 	chr1:192127587-192154945
7948656	11.008165	11.10288	11.01278	10.95833	10.95867	FTH1	NM_002032 	chr11:61731757-61735132
7906662	11.0075575	11.49328	10.46111	10.89499	11.18085	UFC1	NM_016406 	chr1:161123542-161128646
8103728	11.00453	11.21015	10.84034	11.19531	10.77232	HMGB2	NM_001130688 	chr4:174252787-174256276
8044686	11.003235	10.84379	11.2268	10.90017	11.04218	ACTR3	NM_005721 	chr2:114647537-114716167
7961230	11.0004525	11.41472	11.11348	10.84276	10.63085	CSDA	NM_003651 	chr12:10851525-10875920
7983360	10.996775	11.00758	11.43858	10.97819	10.56275	B2M	NM_004048 	chr15:45003685-45010357
7926368	10.993015	10.84481	11.17557	10.85474	11.09694	VIM	NM_003380 	chr10:17270470-17279592
7927854	10.9927025	10.99369	10.80542	11.10107	11.07063	HNRNPH3	NM_012207 	chr10:70091832-70102948
8102619	10.9905075	10.89725	11.23192	10.96075	10.87211	ANXA5	NM_001154 	chr4:122589148-122618352
8046590	10.973495	10.98679	11.35593	10.71452	10.83674	HNRNPA3	NM_194247 	chr2:178077422-178088685
8009457	10.9650725	10.55623	11.00095	11.32148	10.98163	PRKAR1A	NM_212472 	chr17:66508110-66529147
8152465	10.95942	10.77631	11.019	11.04451	10.99786	EIF3H	NM_003756 	chr8:117657055-117778494
8101945	10.9514725	10.95339	11.34573	11.04709	10.45968	H2AFZ	NM_002106 	chr4:100869242-100871547
7984562	10.939435	11.13917	10.84706	10.96247	10.80904	RPLP1	NM_001003 	chr15:69745123-69747885
8108568	10.937435	10.91093	11.12326	10.79803	10.91752	IK	NM_006083 	chr5:140011572-140042065
8160756	10.934745	11.38854	10.75743	11.5923	10.00071	DCAF12	NM_015397 	chr9:34086385-34126771
7906377	10.9345	11.20991	11.27544	11.07569	10.17696	MNDA	NM_002432 	chr1:158801107-158819294
7963046	10.929395	10.95341	10.86835	11.02609	10.86973	TUBA1B	NM_006082 	chr12:49521565-49525304
7899160	10.9121975	10.96735	11.00958	10.5478	11.12406	CD52	NM_001803 	chr1:26644411-26647014
8050215	10.89904	11.37928	10.36805	11.02391	10.82492	YWHAQ	NM_006826 	chr2:9724101-9771178
8164067	10.8898425	10.72907	11.17934	11.08201	10.56895	PSMB7	NM_002799 	chr9:127115744-127177721
8111739	10.8836275	10.5849	11.07431	10.92819	10.94711	FYB	NM_001465 	chr5:39105357-39219675
8053890	10.880275	10.96218	10.45685	10.93608	11.16599	STARD7	NM_020151 	chr2:96850597-96874563
7930454	10.8730825	10.5908	11.0552	11.0231	10.82323	PDCD4	NM_145341 	chr10:112631565-112659764
8062908	10.865725	10.78766	10.4833	11.1639	11.02804	STK4	NM_006282 	chr20:43595115-43708600
8153903	10.84838	11.03149	10.27156	10.81282	11.27765	RPL8	NM_000973 	chr8:146015154-146017811
7936614	10.838065	10.7049	10.78832	10.78391	11.07513	EIF3A	NM_003750 	chr10:120794356-120840334
7932311	10.83689	10.1623	10.83605	11.56254	10.78667	RSU1	NM_012425 	chr10:16632610-16859527
7977657	10.83452	10.5367	10.9267	11.01575	10.85893	HNRNPC	NM_031314 	chr14:21677295-21737638
8018439	10.82786	10.73394	11.00856	10.59917	10.96977	H3F3B	NM_005324 	chr17:73772515-73775860
8012304	10.8242075	10.7439	10.83874	11.38175	10.33244	TRAPPC1	NM_021210 	chr17:7833663-7835266
7948679	10.82071	10.96655	10.81423	10.85278	10.64928	EEF1G	NM_001404 	chr11:62327073-62350046
7976598	10.8103075	10.73549	10.53825	10.9385	11.02899	PAPOLA	NM_032632 	chr14:96968718-97033448
8178498	10.803575	10.25079	10.96554	11.07585	10.92212	HLA-B	NM_005514 	chr6:31321649-31325022
8162047	10.8016625	10.72176	10.7829	10.82419	10.8778	HNRNPK	NM_002140 	chr9:86582998-86595519
7973056	10.7995575	11.07786	10.36929	11.20956	10.54152	APEX1	NM_001641 	chr14:20923290-20925927
8079950	10.7994325	10.64528	10.85248	11.03568	10.66429	GNAI2	NM_002070 	chr3:50264169-50296786
8026971	10.7868725	10.62155	10.87806	10.86372	10.78416	IFI30	NM_006332 	chr19:18284579-18288927
7938669	10.7860875	11.01123	10.5112	10.70282	10.9191	C11orf58	NM_014267 	chr11:16760179-16777573
8115147	10.7847	10.39564	10.65985	11.0211	11.06221	CD74	NM_001025159 	chr5:149781200-149792492
7964234	10.78041	10.83555	10.60571	11.15881	10.52157	ATP5B	NM_001686 	chr12:57031959-57039852
7940996	10.778805	11.36478	10.88886	10.40782	10.45376	PRDX5	NM_012094 	chr11:64085560-64089283
7927536	10.7775175	10.68856	10.51577	11.00367	10.90207	NCOA4	NM_005437 	chr10:51565227-51590734
7925565	10.771085	10.66039	10.74459	10.9425	10.73686	HNRNPU	NM_031844 	chr1:245013602-245027844
7956937	10.73662	10.63474	10.80623	11.2129	10.29261	RAP1B	NM_015646 	chr12:69004652-69054374
8014063	10.7349175	10.46574	10.84995	10.6987	10.92528	EVI2B	NM_006495 	chr17:29630791-29641098
8070701	10.7348025	10.92289	11.07868	10.72101	10.21663	CSTB	NM_000100 	chr21:45192398-45196259
8174710	10.7258775	10.64617	10.84696	10.67491	10.73547	RPL39	NM_001000 	chrX:118920469-118925606
7900426	10.71233	10.43442	10.9708	10.79982	10.64428	SMAP2	NM_022733 	chr1:40839369-40888998
7926916	10.707195	10.75052	10.91404	10.25856	10.90566	ZEB1	NM_030751 	chr10:31607424-31818742
8166493	10.7027175	10.99288	10.07684	11.0228	10.71835	EIF2S3	NM_001415 	chrX:24073065-24096927
8138670	10.6934475	10.70925	10.62778	10.63518	10.80158	HNRNPA2B1	NM_031243 	chr7:26229934-26240404
7953409	10.6886475	10.81276	10.76668	10.07733	11.09782	PTMS	NM_002824 	chr12:6875541-6880118
8025395	10.6863625	10.12539	10.91622	10.66295	11.04089	RPS28	NM_001031 	chr19:8386389-8387278
7983606	10.686355	10.52327	11.15732	10.57243	10.4924	EID1	NM_014335 	chr15:49170290-49172738
8108424	10.686335	10.38936	10.72679	10.86605	10.76314	PAIP2	NM_001033112 	chr5:138677519-138705409
7931873	10.6850425	10.89583	10.83948	10.47718	10.52768	GDI2	NM_001494 	chr10:5807186-5884095
8117402	10.6699125	11.12486	10.48271	10.18508	10.887	HIST1H4E	NM_003545 	chr6:26204838-26206264
7999520	10.6667475	10.73353	10.35454	10.95083	10.62809	RSL1D1	NM_015659 	chr16:11931211-11945395
8139706	10.65923	10.22757	11.09244	10.68234	10.63457	SEC61G	NM_014302 	chr7:54819940-54826939
7914489	10.642365	10.7179	10.62451	10.60645	10.6206	PTP4A2	NM_080391 	chr1:32372022-32403991
8072946	10.6357175	10.85257	10.75873	10.69175	10.23982	EIF3L	NM_016091 	chr22:38244875-38284638
7960553	10.6355175	10.61934	10.87759	10.94063	10.10451	MRPL51	NM_016497 	chr12:6601316-6602457
7918284	10.6317025	10.66014	10.5566	10.23159	11.07848	TAF13	NM_005645 	chr1:109605121-109618624
7955464	10.6258	10.52574	10.81275	10.55798	10.60673	DAZAP2	NM_014764 	chr12:51632610-51637568
7968242	10.62026	10.82568	10.43182	10.29389	10.92965	GTF3A	NM_002097 	chr13:27998681-28009823
8025429	10.6128575	10.64116	10.46662	10.48036	10.86329	HNRNPM	NM_005968 	chr19:8509651-8553998
7966135	10.5920825	10.54284	10.59847	10.9115	10.31552	CORO1C	NM_014325 	chr12:109038885-109125295
8143387	10.5881885	10.99385	9.952314	10.81445	10.59214	MKRN1	NM_013446 	chr7:140152845-140179302
8090546	10.5850875	10.8788	10.4914	10.57806	10.39209	CNBP	NM_001127192 	chr3:128888327-128902787
7921667	10.584235	10.47957	10.6772	11.04	10.14017	CD48	NM_001778 	chr1:160648536-160681641
8081348	10.57645	10.18003	10.10824	11.06963	10.9479	PCNP	NM_020357 	chr3:101293030-101313281
8043861	10.5659275	10.82352	10.31145	10.32987	10.79887	EIF5B	NM_015904 	chr2:99953834-100016728
8108620	10.561269	10.44052	10.49952	9.994136	11.3109	ZMAT2	NM_144723 	chr5:140080032-140086239
8028172	10.561005	10.53344	10.71993	10.58626	10.40439	CAPNS1	NM_001749 	chr19:36630917-36641255
7899534	10.5606775	11.02463	10.31167	10.28293	10.62348	EPB41	NM_001166005 	chr1:29213628-29446958
7914270	10.5530275	10.58465	10.23441	10.84605	10.547	LAPTM5	NM_006762 	chr1:31205316-31230667
8038809	10.55223875	10.68427	8.710535	11.45023	11.36392	NKG7	NM_005601 	chr19:51874874-51875969
8116969	10.55125	10.45414	10.65513	10.51571	10.58002	NOL7	NM_016167 	chr6:13615559-13621938
8000409	10.5501075	11.04461	10.31432	10.25478	10.58672	HMGN2	NM_005517 	chr16:26043860-26044132
7997230	10.54750675	10.81448	9.871007	10.51646	10.98808	PSMD7	NM_002811 	chr16:74330681-74340186
7997272	10.53515025	10.72741	10.64823	9.729801	11.03516	GABARAPL2	NM_007285 	chr16:75600249-75611779
8115734	10.5249525	10.09379	10.93921	10.78581	10.281	LCP2	NM_005565 	chr5:169675088-169724822
7939137	10.514775	10.51477	10.7974	10.31687	10.43006	EIF3M	NM_006360 	chr11:32605359-32624019
7946041	10.51009	11.2578	10.24894	10.02473	10.50889	HBD	NM_000519 	chr11:5253908-5255878
7923503	10.507895	10.83885	10.42312	10.43933	10.33028	ADIPOR1	NM_015999 	chr1:202909951-202927700
7988838	10.50145725	10.34697	10.56996	9.946749	11.14215	LEO1	NM_138792 	chr15:52229970-52264383
8031933	10.49888	10.5805	10.63978	10.59394	10.1813	RPS5	NM_001009 	chr19:58898636-58906171
8041995	10.486275	10.67709	10.38367	10.40705	10.47729	SPTBN1	NM_003128 	chr2:54683454-54898583
7979732	10.48311325	10.123	9.909443	10.80738	11.09263	VTI1B	NM_006370 	chr14:68117232-68141548
7990054	10.4779125	10.34147	10.69008	10.54057	10.33953	UACA	NM_018003 	chr15:70946893-71055850
7952601	10.4757875	10.09736	11.09529	10.64649	10.06401	ETS1	NM_001143820 	chr11:128328660-128457453
8083429	10.4748775	10.255	10.39199	10.86961	10.38291	MBNL1	NM_021038 	chr3:151985829-152183569
8072577	10.4683125	10.34348	10.49018	10.91807	10.12152	YWHAH	NM_003405 	chr22:32340447-32353590
7990020	10.4538825	10.87228	10.57719	10.19801	10.16805	ANP32A	NM_006305 	chr15:69058354-69113231
8130567	10.450935	10.72312	10.58107	10.38217	10.11738	TCP1	NM_030752 	chr6:160199530-160210741
8011759	10.4498175	10.89802	10.39191	10.30657	10.20277	PFN1	NM_005022 	chr17:4848947-4852322
7932911	10.449325	10.08704	10.42019	10.60411	10.68596	KIF5B	NM_004521 	chr10:32297938-32345359
8116297	10.4342575	10.47556	10.62424	10.43388	10.20335	HNRNPH1	NM_005520 	chr5:179041179-179051670
7989335	10.43008	10.66553	10.32177	10.22651	10.50651	ANXA2	NM_001002858 	chr15:60639350-60690187
8052010	10.419895	10.32894	10.56837	10.44213	10.34014	CALM2	NM_001743 	chr2:47387232-47403670
8027592	10.4188225	10.45302	10.34689	10.62823	10.24715	LSM14A	NM_001114093 	chr19:34663352-34720208
7906720	10.4179025	10.2736	10.55898	10.54596	10.29307	FCER1G	NM_004106 	chr1:161185066-161190489
8006845	10.4111325	10.42319	10.38294	10.24176	10.59664	RPL19	NM_000981 	chr17:37356536-37360980
8056734	10.4091075	10.52544	10.28741	10.7926	10.03098	TLK1	NM_012290 	chr2:171848568-172017145
8007141	10.4085025	10.28253	10.4037	10.44118	10.5066	EIF1	NM_005801 	chr17:39845127-39847898
8151592	10.406605	10.93552	10.25571	10.11781	10.31738	CA1	NM_001738 	chr8:86239837-86291252
8129590	10.4004065	10.66722	9.891686	10.68377	10.35895	STX7	NM_003569 	chr6:132779054-132834337
7927964	10.39239	10.74723	10.44617	10.16253	10.21363	SRGN	NM_002727 	chr10:70847828-70864567
7899346	10.390471	9.910524	10.57241	10.53846	10.54049	CCDC72	NM_015933 	chr1:27975930-27976121
8041122	10.385755	10.28485	10.49631	10.27147	10.49039	PPP1CB	NM_002709 	chr2:28974614-29026043
