Gene	TSS	Coverage
FERD3L	chr7_19185044	17.9288369045
ZNF131	chr5_43121609	11.2650754911
TTI1	chr20_36661870	12.7774838613
LRRC52	chr1_165513477	21.3926551319
RANBP2	chr2_109335936	12.8528310883
SPDYE2	chr7_102290771	13.8931938287
ELAVL4	chr1_50571936	24.1199351618
RNF166	chr16_88770025	13.601184693
ZNF775	chr7_150076405	9.5600832694
ATF5	chr19_50431958	11.663508999
RANGRF	chr17_8191968	14.1892338044
ATL2	chr2_38603672	12.7702225019
RNF122	chr8_33424646	12.7215545251
GAS8	chr16_90086036	10.6261391526
KRTAP10-11	chr21_46066330	17.6351996909
SLC12A5	chr20_44657820	14.4793382778
CNTN3	chr3_74570291	19.9427826619
HS3ST1	chr4_11430537	16.5448611895
OR5AK2	chr11_56756388	22.0431930654
CTSO	chr4_156875048	16.0983997697
CCNH	chr5_86708721	12.5442717323
PPFIBP2	chr11_7626964	22.3788897113
PDS5B	chr13_33160563	8.22247671466
TNFRSF14	chr1_2487803	9.54199839048
IFI30	chr19_18284589	12.5503459786
OSGIN2	chr8_90914095	12.3053501911
NOB1	chr16_69788871	14.3901871414
CRYGB	chr2_209010877	18.3759628166
ABCA2	chr9_139922740	7.06836642257
ATP8B3	chr19_1812275	8.66260112412
TNS1	chr2_218808796	19.6178814187
FGR	chr1_27952751	15.4867948591
DKK1	chr10_54074040	13.1775254742
CDK15	chr2_202671301	22.270518338
FGD4	chr12_32654976	19.3437593169
FRMD6	chr14_52118575	10.1382515687
EBF1	chr5_158526788	15.6616457268
RAB18	chr10_27793102	13.4207700279
OR6K6	chr1_158724605	21.6455697821
KCNJ9	chr1_160051359	21.8953867087
STMN1	chr1_26232993	12.8229516623
C11orf57	chr11_111944967	15.4583105338
ENO3	chr17_4854383	13.0830996813
PABPC1	chr8_101734315	6.72702967607
CIB1	chr15_90808991	12.7045058026
KRTAP5-2	chr11_1619524	20.723814806
ERBB2	chr17_37844336	14.1790661468
EXOSC7	chr3_45017740	10.3315342738
SETMAR	chr3_4344987	16.120911757
LTBP1	chr2_33359663	19.9475772021
CMTM3	chr16_66638633	11.2683545113
PABPC4	chr1_40042521	12.1452415443
EMILIN1	chr2_27301434	13.888902048
YEATS4	chr12_69753489	13.6840042747
OMP	chr11_76813885	20.9020372725
MAPK11	chr22_50708822	11.3061521926
ACTR3B	chr7_152456833	11.9222545489
ST3GAL3	chr1_44173203	13.471527925
TMEM100	chr17_53809482	19.4314640269
RAB27A	chr15_55563107	20.2611344718
C1orf54	chr1_150245182	21.6777948975
C10orf99	chr10_85933553	20.9885763803
USP6NL	chr10_11574279	22.6175781999
NCAM2	chr21_22370632	15.2696318427
NUP35	chr2_183989082	14.1205097248
SERPINB11	chr18_61369537	21.6719226757
SOCS2	chr12_93964174	12.1652324735
LGALS14	chr19_40194945	24.3351272634
CHRND	chr2_233390869	17.1033959668
HIRA	chr22_19419219	9.06913997257
KLHL3	chr5_137042116	24.2259185224
LIMS2	chr2_128405828	15.7583601885
ATP6V0B	chr1_44440319	12.4404553038
OR7C2	chr19_15052300	23.2126908211
PHLDA1	chr12_76425556	13.5938189176
RAB32	chr6_146864827	12.2133696564
ZNRD1	chr6_30029016	14.4298656139
CCT6B	chr17_33288528	13.9259449856
IGSF9B	chr11_133826649	15.5035764505
PRKACB	chr1_84543657	13.7128463291
FBRSL1	chr12_133067156	6.8343883588
RAB42	chr1_28919006	17.4815722296
ZNF577	chr19_52391229	17.8238205723
CREG1	chr1_167523056	13.3055232009
STON1-GTF2A1L	chr2_48796158	21.7943788213
NR2F2	chr15_96874110	11.2272903912
FBXO7	chr22_32870706	11.2247602975
SIRT4	chr12_120740123	15.5819790293
PDHA2	chr4_96761238	21.4720176863
AEBP2	chr12_19593514	14.1869651416
MRPL55	chr1_228297013	11.0683245662
ATF6	chr1_161736033	16.1602489695
COMMD9	chr11_36310999	14.604134113
PRKRIP1	chr7_102036803	12.0169204855
TECR	chr19_14640378	8.97735458132
CXCL2	chr4_74964997	14.3815532867
TSPYL4	chr6_116575261	14.2661159942
DEDD2	chr19_42721944	9.71246764392
AMMECR1L	chr2_128642434	14.0053629499
NAPA	chr19_48018515	7.69304367835
TSHR	chr14_81421868	16.7172347279
PLAGL1	chr6_144385735	11.5884387214
SMC2	chr9_106856830	17.0186872553
SARS	chr1_109756514	13.5513684082
SSR3	chr3_156272989	13.9423052988
HCK	chr20_30639990	10.9431302496
RSPRY1	chr16_57220195	11.0362300391
C1QTNF7	chr4_15341559	22.955405696
NRXN3	chr14_78870073	23.0924534589
FAM69C	chr18_72124503	14.0206825913
GART	chr21_34914464	10.2975946709
ZNF566	chr19_36980463	14.4687987459
TRPM3	chr9_73736514	18.972701425
CSTF2T	chr10_53459355	13.5131996695
PRR5	chr22_45064426	12.6259824975
STT3B	chr3_31573992	8.98445093606
DTNB	chr2_25875529	20.371520185
KLC3	chr19_45843997	15.9101759573
RNASE1	chr14_21270558	19.7284044011
OR4K1	chr14_20403766	29.9118011819
FGF18	chr5_170846666	15.2713193044
ZNF555	chr19_2841432	9.53567243112
YWHAG	chr7_75988342	7.10524308657
ZNF761	chr19_53935226	14.1311596067
SMAD3	chr15_67458492	19.070243514
STOML1	chr15_74284689	12.7083010838
TP53I11	chr11_44971759	11.3439929945
SLC38A1	chr12_46663208	15.7179212599
SIX1	chr14_61116155	17.4565081704
DNAJC14	chr12_56223420	9.32553565505
RTKN	chr2_74669060	17.7923570629
C1QTNF9B	chr13_24471145	23.1061158817
PTGER4	chr5_40680031	11.004794795
GRHPR	chr9_37422706	15.2458539834
PPEF2	chr4_76823681	20.2313683298
RFX7	chr15_56535483	11.3866726653
CALHM2	chr10_105212162	17.3410913541
IL3	chr5_131396346	21.6636545898
C21orf58	chr21_47738134	17.8059786199
SLC16A3	chr17_80193649	13.9377180628
SDCBP2	chr20_1294317	15.5095396569
SLC7A7	chr14_23289020	14.9742389973
RHBG	chr1_156338979	18.6563671373
CRYGA	chr2_209028297	20.9650106048
PSMD11	chr17_30771480	12.8042918061
KLHL8	chr4_88141420	12.0275939504
CUX1	chr7_101459183	5.37731169066
TNFAIP8L1	chr19_4639526	9.62132836314
ANKRD37	chr4_186317839	12.0617971919
CXCR2	chr2_218990012	17.281101879
VEZT	chr12_95611521	11.3360169599
PEX11B	chr1_145516164	11.1613819736
SRSF8	chr11_94800040	15.454813886
ADCK4	chr19_41222790	10.5944964712
EN1	chr2_119605759	16.6992133787
ZNF219	chr14_21572863	10.8834455103
DEFB130	chr8_11929256	10.8375376461
BAAT	chr9_104145801	20.8785306158
HRH1	chr3_11267668	20.4814035233
KRTAP6-2	chr21_31971193	19.8413829403
UBASH3A	chr21_43823970	18.4949832647
TMEFF1	chr9_103235519	12.7857790984
TARS	chr5_33440881	12.9251584671
WNK2	chr9_95947211	14.8986018838
ABCG1	chr21_43640007	13.9979832524
THRA	chr17_38219067	9.0369070811
CHRNA7	chr15_32322685	19.6114466559
RTN4IP1	chr6_107077373	14.0677501446
IRF5	chr7_128580723	14.9915388568
KCTD3	chr1_215740734	16.0490096857
SPRR3	chr1_152974222	26.4768202824
CLEC4G	chr19_7797057	17.5807417616
TCL1B	chr14_96152753	20.0945985432
ARL9	chr4_57371374	18.5800395698
LYZL4	chr3_42452094	22.5769255135
JMJD1C	chr10_65225761	13.4644945868
GRM5	chr11_88781240	18.6058934951
SEMA7A	chr15_74726299	12.4095224715
SEH1L	chr18_12947982	9.3432550682
KCTD14	chr11_77757237	15.9596888731
MYNN	chr3_169490852	11.9712714124
AP1M1	chr19_16308664	11.7222753049
RBBP8	chr18_20513838	13.2972657768
OR2B11	chr1_247615284	19.2933336621
TCP10L	chr21_33957845	20.7632914851
WDR64	chr1_241815579	23.8302634581
TTLL6	chr17_46894469	16.8686791621
RAB30	chr11_82745611	21.3696717443
TWISTNB	chr7_19748660	16.1274556346
CTBP2	chr10_126716453	21.3841001557
NDUFS5	chr1_39491966	15.9951566509
C4BPB	chr1_207262186	22.9562533406
SET	chr9_131447364	13.7412228933
HPS4	chr22_26879829	12.1880598069
RBL1	chr20_35724403	14.3533554365
TLR3	chr4_186990308	20.3553611548
OR7G2	chr19_9213982	20.4223597703
NUMA1	chr11_71791739	9.10743404178
CTBP1	chr4_1242908	6.2913995425
ELMO1	chr7_37024717	17.7346065185
KRT78	chr12_53242778	23.1903325507
OR4K2	chr14_20344426	30.4252765598
ASPRV1	chr2_70189397	16.4076532951
NBPF3	chr1_21766582	18.6247621845
IL17A	chr6_52051184	20.8791833012
ZNF461	chr19_37157755	12.5588938049
S100A14	chr1_153588808	16.9823768199
HIST1H2AC	chr6_26124372	9.03839413368
ZFP3	chr17_4981753	14.8335422148
DPF2	chr11_65101224	12.7671126897
NELL2	chr12_45269444	18.794023615
WHSC1L1	chr8_38239790	8.18130472569
PDE3A	chr12_20724797	22.9233480989
CITED2	chr6_139695350	8.89767662992
KIAA1324	chr1_109656584	15.1686751563
FAP	chr2_163100045	23.3903468864
OR51A4	chr11_4968330	18.8809413016
ZKSCAN1	chr7_99613194	12.5384304234
CRISPLD1	chr8_75912388	21.0707516882
ATM	chr11_108093558	9.91874526987
NLRC4	chr2_32490812	19.2581399262
ETV4	chr17_41623800	13.5893420038
SS18	chr18_23671181	15.0314624991
P2RX2	chr12_133195365	13.1889142563
KCNK10	chr14_88789593	16.4554790564
STK32C	chr10_134121477	10.1504737412
EDNRA	chr4_148402068	19.3094210244
IGFBP7	chr4_57976551	13.7085142489
DZIP1	chr13_96296960	17.1156572072
COL8A1	chr3_99357439	21.6899922399
CCDC126	chr7_23636997	12.4032991037
TBC1D1	chr4_38121574	21.3206777162
VGF	chr7_100808852	11.2930414429
PPP2R2D	chr10_133747959	21.7037453094
MC2R	chr18_13915706	21.976685736
FAM120AOS	chr9_96215874	14.9316814324
SERF2	chr15_44084039	11.0672068991
LNPEP	chr5_96271345	8.03497331866
GSTCD	chr4_106629940	14.6268764942
MNDA	chr1_158801167	18.8750224268
AKT3	chr1_244006584	20.7883499683
ZKSCAN4	chr6_28220074	15.8169249269
SDC1	chr2_20424927	15.5205526034
BRD1	chr22_50219548	15.8288280258
KLK6	chr19_51472929	18.333484716
MSH6	chr2_48011093	9.21705037662
GDPD4	chr11_76998463	21.9351955708
PDCD10	chr3_167452651	10.7192706878
ATP1A3	chr19_42498428	13.2063916478
GDNF	chr5_37834924	20.3833642656
FCGRT	chr19_50015535	11.3579242085
B4GALT2	chr1_44444873	12.1561562983
TLCD1	chr17_27053230	11.5060424676
TRAPPC2L	chr16_88923505	9.47198132983
FER	chr5_108083522	15.2539675708
NAB2	chr12_57482676	8.63757768771
BCAS3	chr17_58755171	11.1592718282
LCE4A	chr1_152681522	21.5823242896
NDUFS4	chr5_52856464	17.9678324401
TARDBP	chr1_11072678	11.7495868279
HHAT	chr1_210502639	16.6337545505
PITX3	chr10_104001231	14.176155925
TOMM20	chr1_235292256	13.9776613073
GCAT	chr22_38203911	13.3595201059
GNG8	chr19_47137939	10.6933307129
UNC13A	chr19_17799008	16.2937596629
RPS5	chr19_58898635	10.1377220028
PARL	chr3_183602693	14.5577934804
HOOK3	chr8_42752032	7.9080609479
LGALS8	chr1_236681513	20.6787648496
RPL32	chr3_12883081	12.8355369764
DNAJC8	chr1_28559542	11.5976809926
CDH11	chr16_65156040	14.2727846082
SPCS2	chr11_74660291	13.9327408213
TERF2IP	chr16_75681634	13.2838627948
CNKSR3	chr6_154831753	16.3436919141
MAP7	chr6_136871957	13.688290406
DNMT3A	chr2_25475184	14.6244431233
NDUFA4L2	chr12_57634475	13.4895470953
LEF1	chr4_109090112	19.0437337342
SLAIN1	chr13_78273015	13.848784574
PCDHB12	chr5_140588290	20.6686774358
GLIPR1L2	chr12_75784849	13.844915265
CD302	chr2_160654766	13.360009627
ATP5J2	chr7_99063824	13.3162041101
OR10A6	chr11_7950209	20.8727768675
RILPL1	chr12_124018265	9.22688795998
CSRP1	chr1_201476387	15.8028698445
CPA4	chr7_129932973	22.1968773901
BOC	chr3_112931343	16.8515761792
MED27	chr9_134955274	16.4436954788
ANKMY2	chr7_16685442	9.73949269622
YIPF4	chr2_32502957	13.0484350844
ACSS3	chr12_81471808	18.4054655894
ARAP1	chr11_72463434	11.0561770113
PDXDC1	chr16_15068819	20.0300893925
AMH	chr19_2249112	14.0842088208
RHOBTB2	chr8_22853360	17.5460827483
H1FOO	chr3_129267227	21.1416496163
SNUPN	chr15_75918719	11.2063474482
NOXA1	chr9_140317846	10.9180559011
DNAJB5	chr9_34990266	11.7314537398
ENC1	chr5_73937249	13.8022832517
DENND3	chr8_142138719	8.46902588715
TREML1	chr6_41122087	21.614550105
TDP1	chr14_90422245	10.6738828757
ARHGEF26	chr3_153839148	16.0179353835
RNF38	chr9_36400296	10.9439280755
CCL18	chr17_34391631	24.5875367293
RREB1	chr6_7108085	12.4220985823
POC5	chr5_75008280	21.6641357394
ZFP28	chr19_57050316	10.9257247407
NEK9	chr14_75593778	12.6737550252
ABCB10	chr1_229694442	10.8362606238
CELA1	chr12_51740463	16.3617321919
CACNA1S	chr1_201081694	17.9828424605
PSMB11	chr14_23511375	17.1674060877
CBLN3	chr14_24898731	10.8829139622
HIST1H2BC	chr6_26124132	9.0362756773
PLBD2	chr12_113796370	13.0101861992
ATXN1	chr6_16761721	8.42721946884
SERINC3	chr20_43150726	16.5309036849
MRGPRD	chr11_68748455	23.3785315458
CD59	chr11_33744273	21.479265261
GAS2L1	chr22_29702984	13.1580511104
ACAD8	chr11_134123433	14.2328975047
TEK	chr9_27109138	21.6058601168
LARS	chr5_145562294	12.2543650764
PDCD4	chr10_112631552	9.96468334204
RPS26	chr12_56435685	9.42381536467
CACNA1B	chr9_140772240	16.8797003583
SFXN3	chr10_102790995	12.4685943253
SKP2	chr5_36152144	12.2829211398
GLI4	chr8_144349606	9.80752041173
ANAPC10	chr4_146019693	14.2670327091
MCCC1	chr3_182817375	16.0636633696
TRIAP1	chr12_120884215	12.9432568284
NFKB2	chr10_104153866	10.660809798
ABCA9	chr17_67057136	20.826038543
TSC1	chr9_135820020	11.6199904543
PGC	chr6_41715139	21.6548513463
MLNR	chr13_49794473	14.4408128978
HBA2	chr16_222845	14.1641410214
ACSL5	chr10_114135022	18.2096007986
PPARA	chr22_46546498	9.53276456795
GPR146	chr7_1084208	12.4872192977
PTGFR	chr1_78956727	19.8764456257
MTHFD1L	chr6_151186814	14.3297320821
ACSL6	chr5_131347355	16.1684915188
SLC22A4	chr5_131630144	15.0056302658
KCTD20	chr6_36410543	11.6938792026
C1orf210	chr1_43751288	20.1662388877
HEPHL1	chr11_93754377	23.1279560779
POTEM	chr14_20020272	24.119522514
AMACR	chr5_34008220	13.2240580469
OR1S2	chr11_57971653	21.8224100099
SCAI	chr9_127905838	11.2488950893
TMEM132D	chr12_130388212	16.9710094843
ILVBL	chr19_15236610	14.8502454949
PIGV	chr1_27114453	10.3556701772
GABARAPL1	chr12_10365488	9.4832036384
CTSD	chr11_1785222	9.36066954642
CLUAP1	chr16_3559893	18.2003057509
ZEB1	chr10_31610063	15.9283182765
COPG2	chr7_130353598	13.35186416
IL10	chr1_206945839	21.8850513817
HIST1H2BF	chr6_26199786	11.089589521
GJD3	chr17_38520945	15.2782434515
MSH6	chr2_48010220	9.99445582149
KLF12	chr13_74708066	13.0359486341
DCLRE1B	chr1_114447914	10.5618018745
ATF4	chr22_39916563	7.48906967805
ORC6	chr16_46723557	9.94584018293
NDST2	chr10_75571589	10.4986148697
GPR107	chr9_132815984	13.8278474597
AICDA	chr12_8765442	22.1696951385
PLEKHG5	chr1_6580121	23.4888929414
ABHD3	chr18_19284766	12.4694491596
MBNL2	chr13_97874549	18.7672749291
RRAGD	chr6_90121995	13.4810268798
PLAC9	chr10_81892257	21.0309362434
MBNL2	chr13_97874542	18.7789359015
MPHOSPH10	chr2_71357443	11.3425945071
IQCF2	chr3_51895644	22.2736192888
AKR1C3	chr10_5090957	24.2626946266
CHD1	chr5_98262238	15.1015148964
MTHFSD	chr16_86588809	12.9356479268
NEO1	chr15_73344824	13.6427903047
HES5	chr1_2461684	12.933964602
DEFB128	chr20_170322	22.2829471024
ALDH4A1	chr1_19229293	13.6243051833
KCNV2	chr9_2717525	20.7011673362
FKBP8	chr19_18654406	6.73568713171
TNIP1	chr5_150460645	13.2987788042
UBTF	chr17_42298250	9.75827563356
TOP2B	chr3_25705863	10.3495945393
IGSF21	chr1_18434239	15.0305193353
SLC35F5	chr2_114514270	13.774537464
CFHR1	chr1_196788860	16.7996650378
KRT18	chr12_53342654	15.2428150701
LIMA1	chr12_50677353	16.010658149
LYZ	chr12_69742133	16.0211693479
TMEM203	chr9_140100090	11.2243278385
PATE2	chr11_125648714	22.6825352782
NTRK3	chr15_88799962	15.6208551823
SCN7A	chr2_167343481	22.6873811839
OLFM3	chr1_102462790	17.3801145883
TSEN54	chr17_73512608	8.33159272492
SLC26A5	chr7_103086624	19.9521142528
FBXW12	chr3_48413708	22.636418153
MNX1	chr7_156803347	12.7741851743
PPP1R15B	chr1_204380945	32.7173826367
PSMB2	chr1_36107152	22.2080925879
DSEL	chr18_65183967	12.2110860115
FAM198A	chr3_43020758	19.4604673344
IGSF10	chr3_151158578	22.3762278965
NRG2	chr5_139422884	14.9782751348
BARHL2	chr1_91182794	14.4393582028
C15orf27	chr15_76352298	14.6756185293
ICOS	chr2_204801470	21.7333563019
MATK	chr19_3786415	14.1822487429
ATP2C2	chr16_84402128	19.01017342
CHID1	chr11_915058	17.1407452183
EEPD1	chr7_36192835	9.47084251563
EGFLAM	chr5_38403633	22.9295654649
CCNA2	chr4_122745088	13.1622063756
CMTM3	chr16_66638227	13.7578499788
SLC26A11	chr17_78194199	14.5151339887
RAB13	chr1_153958853	11.5221089862
ATP8A2	chr13_25946208	14.9575720548
ASTN2	chr9_120177317	18.3792384174
EYA1	chr8_72274467	21.7065758998
BAZ2B	chr2_160473112	14.1926892389
SLC16A1	chr1_113498685	15.807909369
NPSR1	chr7_34697896	21.6529934353
SLC1A7	chr1_53608304	20.9523001675
RALGDS	chr9_136004788	18.8895026822
MAPK7	chr17_19281033	9.71867528275
FANCD2	chr3_10068112	12.874313429
HIST1H2AJ	chr6_27782518	14.9796050438
ZNF474	chr5_121465207	21.5951455206
TM4SF19	chr3_196065291	20.1355565744
HOMER1	chr5_78809659	12.1078135984
TNNI2	chr11_1860232	14.1322435823
C8A	chr1_57320442	24.8240633084
SPEG	chr2_220299699	18.7516981103
ECH1	chr19_39322497	10.9476285456
ITPA	chr20_3190133	13.7171462567
RAPH1	chr2_204400058	13.0958744486
TNIP1	chr5_150444692	19.3665881649
OR4K14	chr14_20483352	22.4201635251
S100A6	chr1_153508717	13.3648002073
GBX2	chr2_237076652	15.0555215477
SLC25A16	chr10_70287280	11.9262410303
CBLC	chr19_45281125	13.8656427519
GH1	chr17_61996212	16.9371770662
EPHA3	chr3_89156673	18.4474743546
TRAPPC9	chr8_141468678	11.0925828196
PLD1	chr3_171528284	15.4318813079
SRI	chr7_87849399	14.5372876629
JAGN1	chr3_9932270	12.283636508
ST8SIA5	chr18_44337132	14.3449547057
SLC30A5	chr5_68389775	11.4163768713
TFG	chr3_100428385	10.2347689998
PARP8	chr5_49962771	9.19711361943
RBBP4	chr1_33116748	10.4648422036
SEC14L3	chr22_30868034	22.183141861
CUL9	chr6_43149921	12.9393153909
LRRC26	chr9_140064491	14.6728369903
LRP4	chr11_46940173	13.8300634003
ANKRD20A3	chr9_43133510	25.5158566072
ZNF438	chr10_31320866	9.10966717344
FAM69B	chr9_139607023	12.2267656372
ADCK2	chr7_140372952	12.6733963705
AGXT	chr2_241808161	21.9897764981
RNF38	chr9_36400920	9.88050056278
SUN5	chr20_31592239	20.0779723029
SOCS2	chr12_93963597	13.7750827061
CRIP2	chr14_105941111	10.3970104536
TSLP	chr5_110407389	21.3527901398
VARS2	chr6_30881984	12.0052922901
MYH8	chr17_10325267	23.1731620378
GLRB	chr4_157997276	17.1092768314
BCL9L	chr11_118781613	13.4089500458
MTFMT	chr15_65321977	13.9057822865
ELMO1	chr7_37025871	18.8588204373
TMED1	chr19_10946983	9.17555730387
NAA40	chr11_63706802	10.4608607724
SUSD3	chr9_95820969	12.8209928115
WIPI2	chr7_5253899	18.2634620803
VPS54	chr2_64246214	11.0198679113
NDUFA12	chr12_95397489	14.1035961548
AIMP1	chr4_107237663	13.8737550373
NBPF7	chr1_120387503	25.7512148103
CFHR4	chr1_196857143	22.0901813357
ZBTB1	chr14_64971291	9.45035993868
BSCL2	chr11_62477091	11.340268943
FZD4	chr11_86666440	14.1173473762
RBP1	chr3_139258671	20.6604657351
PRH1	chr12_11324222	14.8370827929
CCNK	chr14_99947738	8.34269904708
MTHFR	chr1_11866160	10.3670251308
CXADR	chr21_18885223	16.1593807648
FAM65B	chr6_24936280	16.9296441391
C6orf47	chr6_31628549	12.2536813003
AGBL3	chr7_134671258	16.9484330517
PARP6	chr15_72563628	19.1202190733
SEC23B	chr20_18488606	9.31998612612
OR52B2	chr11_6191556	21.4468128119
KRTAP20-2	chr21_32007582	21.4163038483
ZMYM1	chr1_35525386	21.321287188
KLHL3	chr5_137056999	23.7034891587
SARS2	chr19_39421536	11.8136301986
UXS1	chr2_106810795	10.9168754001
FKBP11	chr12_49318664	15.0236565732
PHLDB1	chr11_118477212	17.1406937691
ATP2B4	chr1_203595914	12.6901253696
ENAM	chr4_71494460	21.9091295878
SHISA4	chr1_201857796	16.3227519216
RLN1	chr9_5339873	15.9366968203
ZMAT5	chr22_30162969	12.4526466624
CCDC103	chr17_42977079	12.8021512466
MFSD10	chr4_2935964	9.47333159816
GRB10	chr7_50772998	21.5025704462
MLH3	chr14_75518235	15.1310003494
PODN	chr1_53527884	15.727331235
IFI44L	chr1_79086066	20.9633408156
TMEM184A	chr7_1596066	17.4084261421
GOT2	chr16_58768261	12.7305898
PHPT1	chr9_139743267	8.79775118164
AANAT	chr17_74463629	16.8595817842
FBXO18	chr10_5931534	9.06424822875
KIAA0195	chr17_73452663	14.4931932538
ASL	chr7_65540775	12.1040365254
NKAIN2	chr6_124124990	14.9187867447
CHST8	chr19_34112872	16.4080868398
TYW1	chr7_66461791	9.22594333333
DDX6	chr11_118661657	9.44117689998
ATP2A2	chr12_110719031	11.2774566421
ZFP1	chr16_75182420	14.9348473023
CISD1	chr10_60028861	11.1357265187
TINAGL1	chr1_32043745	15.4874477458
FAR1	chr11_13690205	9.22819971311
PIK3CG	chr7_106505923	15.309249182
GJC1	chr17_42908179	18.3772384717
IFIH1	chr2_163175218	14.0117174137
DPM2	chr9_130700763	14.1417278332
UNC80	chr2_210636716	16.6462696781
ADAMTSL1	chr9_18474078	21.0023589578
AMPD3	chr11_10476665	15.6410164629
PRKAR1A	chr17_66508519	12.5538463443
WISP3	chr6_112375370	20.6850045936
PPRC1	chr10_103892750	10.1440690047
GALC	chr14_88460009	11.6488697387
UBQLN1	chr9_86323168	11.1280668776
NBEA	chr13_35516423	13.4854851496
RASSF8	chr12_26111963	11.7247168017
PPFIA2	chr12_81763193	20.2452888255
PITX2	chr4_111544254	18.1621175092
COPS6	chr7_99686582	12.2055517396
LRP1	chr12_57522281	12.7542887329
KRT75	chr12_52828110	20.4989400749
GPRC5C	chr17_72427666	15.865827035
PF4	chr4_74847841	17.9101534047
MYLIP	chr6_16129316	9.52352064408
IFI6	chr1_27998724	18.1052776608
C11orf68	chr11_65686531	8.35464362358
TNIP1	chr5_150460649	13.2971459169
POLR1E	chr9_37485931	13.1013198104
KIAA1462	chr10_30348488	13.8527781297
HTATIP2	chr11_20385230	13.0969572545
NAP1L5	chr4_89619023	13.6876836214
F2RL2	chr5_75919238	18.768248483
LCE1B	chr1_152784446	20.5907318398
ACTL8	chr1_18081807	19.5300695428
NPM3	chr10_103543170	14.9520753644
WNT10B	chr12_49365641	15.9948913506
GABRA5	chr15_27112272	17.8390193347
ZNF160	chr19_53606687	12.1544747727
ZBTB20	chr3_114790261	21.5074992965
GRID2	chr4_93225549	16.7219990565
CYP2R1	chr11_14913751	12.1648803551
SLC45A4	chr8_142264728	19.624762464
OR4B1	chr11_48238361	23.4870610478
IFNAR2	chr21_34602199	11.6081489602
RPP25	chr15_75249775	14.2467959886
FAM179B	chr14_45431392	11.5909204547
PDE4A	chr19_10563632	14.4533058107
DRD3	chr3_113918254	23.3570051439
NSUN7	chr4_40751913	14.6744287789
ZNF596	chr8_182549	12.8586721185
SNX10	chr7_26403944	18.5358068606
NEU2	chr2_233897381	22.4058424362
CRNN	chr1_152386750	23.4684112415
CEP290	chr12_88535993	13.010731051
CNOT2	chr12_70637493	11.9533353775
TDGF1	chr3_46616044	21.2914595524
EBAG9	chr8_110551928	11.3979224063
TBC1D3C	chr17_36348649	35.4021784775
